Konteks,Tanggapan,Label
"Saya sudah menikah selama beberapa tahun dan belakangan ini merasa sangat tertekan dengan situasi rumah tangga kami. Kalau saya tidak segera menuruti perintahnya detik itu juga, dia akan kehilangan kendali lalu mengintimidasi saya setiap hari. Dia selalu melarang saya keluar rumah dan mengurung saya jika saya membantah. Barang-barang saya dirusak dan saya merasa dipaksa untuk terus menuruti semua kemauannya. Tekanan psikologis ini membuat saya nyaris gila. Saya merasa sangat sendirian, hampa, dan butuh pencerahan dari pihak luar. Tolong bantu saya mengambil keputusan yang tepat untuk hidup saya.","Halo. Kami memahami betapa beratnya hidup di bawah tekanan psikologis, intimidasi, dan upaya mengontrol hidup Anda secara paksa... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K3
pasangan saya pernah mendorong saya saat bertengkar,"Kekerasan fisik seperti mendorong, menampar, atau melempar barang tidak dapat dibenarkan. Anda berhak mendapatkan perlindungan.",K4
saya sering dipukul dengan benda keras,"Situasi ini termasuk risiko tinggi. Jika memungkinkan, segera tinggalkan lokasi berbahaya dan cari pertolongan secepatnya.",K4
saya dipaksa melakukan sesuatu dengan ancaman kekerasan,Ini adalah kondisi berbahaya dan mendesak. Segera cari tempat aman dan hubungi layanan darurat atau pihak perlindungan terdekat.,K3
"Saya sudah menikah selama beberapa tahun dan belakangan ini merasa sangat tertekan dengan situasi rumah tangga kami. Jika ada hal kecil saja yang tidak sesuai dengan keinginannya, dia tidak segan-segan untuk berubah menjadi sangat cuek dan menjauh. Hal ini membuat saya bingung dengan arah pernikahan kami. Terkadang saya merasa sangat sedih karena merasa tidak dihargai lagi sebagai pasangannya. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, sangat wajar jika Anda merasa bingung dan sedih menghadapi perubahan sikap pasangan. Masalah komunikasi dalam hubungan memang bisa sangat menguras emosi... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K1
pasangan saya mencekik saya sampai sulit bernapas,Ini adalah kondisi berbahaya dan mendesak. Segera cari tempat aman dan hubungi layanan darurat atau pihak perlindungan terdekat.,K5
"Awalnya saya pikir pernikahan kami baik-baik saja, namun lama kelamaan sifat aslinya mulai terlihat dan menakutkan. Kalau saya tidak segera menuruti perintahnya detik itu juga, dia akan kehilangan kendali lalu berubah menjadi sangat cuek dan menjauh. Hal ini membuat saya bingung dengan arah pernikahan kami. Terkadang saya merasa sangat sedih karena merasa tidak dihargai lagi sebagai pasangannya. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, sangat wajar jika Anda merasa bingung dan sedih menghadapi perubahan sikap pasangan. Masalah komunikasi dalam hubungan memang bisa sangat menguras emosi... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K1
"Saya tidak tahu harus cerita ke mana lagi, rasanya sudah buntu dan saya tidak punya siapa-siapa untuk mengadu. Awalnya hanya masalah sepele seperti urusan rumah tangga biasa, tapi kemudian dia marah besar lalu membentak dan menghina saya dengan kata-kata kasar. Dia selalu merendahkan martabat saya dan memaki saya di depan banyak orang. Teriakannya membuat saya sangat trauma secara emosional dan verbal. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, saya memahami perasaan Anda dan sangat menyesalkan apa yang terjadi. Pelecehan verbal dan emosional bisa meninggalkan luka psikologis yang dalam... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K2
"Sejak awal pernikahan, saya sering mengalami kejadian yang tidak menyenangkan dan rasanya semakin memburuk. Setiap kali dia pulang kerja dalam keadaan lelah atau stres, emosinya sering meledak-ledak dan dia mulai mengintimidasi saya setiap hari. Dia selalu melarang saya keluar rumah dan mengurung saya jika saya membantah. Barang-barang saya dirusak dan saya merasa dipaksa untuk terus menuruti semua kemauannya. Tekanan psikologis ini membuat saya nyaris gila. Saya merasa sangat sendirian, hampa, dan butuh pencerahan dari pihak luar. Tolong bantu saya mengambil keputusan yang tepat untuk hidup saya.","Halo. Kami memahami betapa beratnya hidup di bawah tekanan psikologis, intimidasi, dan upaya mengontrol hidup Anda secara paksa... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K3
pasangan saya pernah menendang saya,Peristiwa ini perlu ditangani serius. Anda dapat menghubungi layanan perlindungan perempuan dan anak di daerah Anda.,K1
"Kehidupan pernikahan saya berubah menjadi mimpi buruk yang tidak pernah saya bayangkan sebelumnya. Kalau saya tidak segera menuruti perintahnya detik itu juga, dia akan kehilangan kendali lalu mengambil pisau dari dapur dan saya diancam akan dibunuh. Dia mencekik leher saya sampai saya kehabisan napas dan merasa ini adalah keadaan darurat karena nyawa saya terancam. Dia bahkan membuat saya mengalami luka parah di bagian lengan. Kejadian ini membuat saya sangat trauma dan ketakutan setiap hari. Apa yang sebaiknya saya lakukan sebagai langkah selanjutnya?","Halo, terima kasih sudah berani menjangkau kami. Kami sangat prihatin mendengar situasi Anda. Ini adalah situasi darurat yang mengancam nyawa. Segera cari tempat yang aman dan hubungi polisi atau layanan darurat terdekat... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K5
saya memiliki masalah punggung yang parah saya telah menjalani operasi besar dan beberapa operasi kecil tetapi saya masih merasakan sakit yang terus menerus bagaimana cara mengatasi depresi akibat nyeri kronis ini,"Mungkin jika Anda mulai menanggapi pertanyaan-pertanyaan mendalam tentang apa yang berubah dalam hidup Anda akibat masalah punggung ini. Mengetahui batasan-batasan Anda dan area-area hidup yang terpengaruh olehnya, akan sangat berkontribusi pada pemahaman diri yang lebih kuat di dalam diri Anda. Kesadaran yang lebih besar dan rasa arah yang jelas seringkali mengurangi depresi.",K1
saya sering dibentak oleh pasangan saya di rumah,Hal seperti ini bisa menjadi tanda awal kekerasan. Penting untuk mengenali pola dan mencari bantuan sejak dini.,K2
"Sejak awal pernikahan, saya sering mengalami kejadian yang tidak menyenangkan dan rasanya semakin memburuk. Jika ada hal kecil saja yang tidak sesuai dengan keinginannya, dia tidak segan-segan untuk membuat saya merasa sangat sedih dan hancur. Sikapnya yang dingin membuat saya bingung harus melakukan apa untuk memperbaiki hubungan ini. Saya hanya bisa meratapi nasib sendirian di kamar. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, sangat wajar jika Anda merasa bingung dan sedih menghadapi perubahan sikap pasangan. Masalah komunikasi dalam hubungan memang bisa sangat menguras emosi... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K1
"Saya tidak tahu harus cerita ke mana lagi, rasanya sudah buntu dan saya tidak punya siapa-siapa untuk mengadu. Kalau saya tidak segera menuruti perintahnya detik itu juga, dia akan kehilangan kendali lalu membentak dan menghina saya dengan kata-kata kasar. Dia selalu merendahkan martabat saya dan memaki saya di depan banyak orang. Teriakannya membuat saya sangat trauma secara emosional dan verbal. Kejadian ini membuat saya sangat trauma dan ketakutan setiap hari. Apa yang sebaiknya saya lakukan sebagai langkah selanjutnya?","Halo, saya memahami perasaan Anda dan sangat menyesalkan apa yang terjadi. Pelecehan verbal dan emosional bisa meninggalkan luka psikologis yang dalam... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K2
saya merasa dikontrol terus dalam hal kecil sehari hari,Perilaku tersebut termasuk kekerasan verbal dan kontrol berlebihan. Anda berhak merasa aman dan dihormati.,K3
saya mengalami luka karena dipukul oleh pasangan saya,Ancaman dan kekerasan berat perlu segera dilaporkan. Keselamatan Anda adalah prioritas utama.,K4
pasangan saya pernah menendang saya,"Jika memungkinkan, segera menjauh dari situasi berbahaya dan simpan bukti kejadian untuk pelaporan.",K5
saya sering dibentak oleh pasangan saya di rumah,Terima kasih sudah berbagi. Situasi seperti ini tidak boleh dianggap remeh. Cobalah mencari tempat aman dan bicarakan dengan orang terpercaya.,K2
saya merasa dikontrol terus dalam hal kecil sehari hari,"Anda tidak sendiri. Mulailah dengan berbicara kepada keluarga, teman dekat, atau layanan bantuan terpercaya.",K3
"Kehidupan pernikahan saya berubah menjadi mimpi buruk yang tidak pernah saya bayangkan sebelumnya. Jika ada hal kecil saja yang tidak sesuai dengan keinginannya, dia tidak segan-segan untuk memukul dan menampar wajah saya berulang kali. Tidak hanya itu, dia juga menendang dan mendorong saya hingga jatuh ke lantai. Saya sering dijambak rambutnya saat dia sedang marah besar. Ini murni aniaya fisik. Saya merasa sangat sendirian, hampa, dan butuh pencerahan dari pihak luar. Tolong bantu saya mengambil keputusan yang tepat untuk hidup saya.","Halo, terima kasih telah membagikan cerita Anda. Kekerasan fisik seperti memukul, menampar, menendang sama sekali tidak bisa dibenarkan... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K4
"Saya sudah menikah selama beberapa tahun dan belakangan ini merasa sangat tertekan dengan situasi rumah tangga kami. Awalnya hanya masalah sepele seperti urusan rumah tangga biasa, tapi kemudian dia marah besar lalu membentak dan menghina saya dengan kata-kata kasar. Dia selalu merendahkan martabat saya dan memaki saya di depan banyak orang. Teriakannya membuat saya sangat trauma secara emosional dan verbal. Saya merasa sangat sendirian, hampa, dan butuh pencerahan dari pihak luar. Tolong bantu saya mengambil keputusan yang tepat untuk hidup saya.","Halo, saya memahami perasaan Anda dan sangat menyesalkan apa yang terjadi. Pelecehan verbal dan emosional bisa meninggalkan luka psikologis yang dalam... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K2
saya sering dipukul dengan benda keras,Ancaman dan kekerasan berat perlu segera dilaporkan. Keselamatan Anda adalah prioritas utama.,K4
"Saya tidak tahu harus cerita ke mana lagi, rasanya sudah buntu dan saya tidak punya siapa-siapa untuk mengadu. Jika ada hal kecil saja yang tidak sesuai dengan keinginannya, dia tidak segan-segan untuk mengambil pisau dari dapur dan saya diancam akan dibunuh. Dia mencekik leher saya sampai saya kehabisan napas dan merasa ini adalah keadaan darurat karena nyawa saya terancam. Dia bahkan membuat saya mengalami luka parah di bagian lengan. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, terima kasih sudah berani menjangkau kami. Kami sangat prihatin mendengar situasi Anda. Ini adalah situasi darurat yang mengancam nyawa. Segera cari tempat yang aman dan hubungi polisi atau layanan darurat terdekat... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K5
"Kehidupan pernikahan saya berubah menjadi mimpi buruk yang tidak pernah saya bayangkan sebelumnya. Kalau saya tidak segera menuruti perintahnya detik itu juga, dia akan kehilangan kendali lalu mengambil pisau dari dapur dan saya diancam akan dibunuh. Dia mencekik leher saya sampai saya kehabisan napas dan merasa ini adalah keadaan darurat karena nyawa saya terancam. Dia bahkan membuat saya mengalami luka parah di bagian lengan. Saya merasa sangat sendirian, hampa, dan butuh pencerahan dari pihak luar. Tolong bantu saya mengambil keputusan yang tepat untuk hidup saya.","Halo, terima kasih sudah berani menjangkau kami. Kami sangat prihatin mendengar situasi Anda. Ini adalah situasi darurat yang mengancam nyawa. Segera cari tempat yang aman dan hubungi polisi atau layanan darurat terdekat... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K5
saya sering dibentak oleh pasangan saya di rumah,Cobalah mencatat kejadian yang dialami dan simpan bukti percakapan jika ada. Ini bisa membantu saat mencari dukungan.,K2
"Saya tidak tahu harus cerita ke mana lagi, rasanya sudah buntu dan saya tidak punya siapa-siapa untuk mengadu. Awalnya hanya masalah sepele seperti urusan rumah tangga biasa, tapi kemudian dia marah besar lalu membentak dan menghina saya dengan kata-kata kasar. Dia selalu merendahkan martabat saya dan memaki saya di depan banyak orang. Teriakannya membuat saya sangat trauma secara emosional dan verbal. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, saya memahami perasaan Anda dan sangat menyesalkan apa yang terjadi. Pelecehan verbal dan emosional bisa meninggalkan luka psikologis yang dalam... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K2
pasangan saya sering merendahkan saya dengan kata kata kasar,Perilaku tersebut termasuk kekerasan verbal dan kontrol berlebihan. Anda berhak merasa aman dan dihormati.,K2
"Kehidupan pernikahan saya berubah menjadi mimpi buruk yang tidak pernah saya bayangkan sebelumnya. Awalnya hanya masalah sepele seperti urusan rumah tangga biasa, tapi kemudian dia marah besar lalu melakukan kekerasan fisik yang brutal. Saya didorong dengan keras ke tembok, ditendang dan diseret di lantai rumah. Terkadang dia juga melempar benda berat sampai saya memar. Saya benar-benar dianiaya setiap hari. Kejadian ini membuat saya sangat trauma dan ketakutan setiap hari. Apa yang sebaiknya saya lakukan sebagai langkah selanjutnya?","Halo, terima kasih telah membagikan cerita Anda. Kekerasan fisik seperti memukul, menampar, menendang sama sekali tidak bisa dibenarkan... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K4
"Awalnya saya pikir pernikahan kami baik-baik saja, namun lama kelamaan sifat aslinya mulai terlihat dan menakutkan. Awalnya hanya masalah sepele seperti urusan rumah tangga biasa, tapi kemudian dia marah besar lalu mengontrol semua aspek kehidupan saya. Saya dikurung di dalam kamar dan dia selalu melarang saya bertemu dengan teman atau keluarga. Dia mengekang kebebasan saya dan memberikan tekanan psikologis yang luar biasa. Bahkan ponsel saya dirusak agar saya tidak bisa minta tolong. Kejadian ini membuat saya sangat trauma dan ketakutan setiap hari. Apa yang sebaiknya saya lakukan sebagai langkah selanjutnya?","Halo. Kami memahami betapa beratnya hidup di bawah tekanan psikologis, intimidasi, dan upaya mengontrol hidup Anda secara paksa... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K3
"Awalnya saya pikir pernikahan kami baik-baik saja, namun lama kelamaan sifat aslinya mulai terlihat dan menakutkan. Setiap kali dia pulang kerja dalam keadaan lelah atau stres, emosinya sering meledak-ledak dan dia mulai melakukan kekerasan verbal tanpa henti. Dia terus-menerus memaki, membentak, dan menghina keluarga saya. Kata-katanya selalu merendahkan saya sehingga keadaan emosional saya benar-benar hancur. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, saya memahami perasaan Anda dan sangat menyesalkan apa yang terjadi. Pelecehan verbal dan emosional bisa meninggalkan luka psikologis yang dalam... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K2
saya dipukul berkali kali oleh pasangan saya,"Situasi ini termasuk risiko tinggi. Jika memungkinkan, segera tinggalkan lokasi berbahaya dan cari pertolongan secepatnya.",K4
"Awalnya saya pikir pernikahan kami baik-baik saja, namun lama kelamaan sifat aslinya mulai terlihat dan menakutkan. Awalnya hanya masalah sepele seperti urusan rumah tangga biasa, tapi kemudian dia marah besar lalu berubah menjadi sangat cuek dan menjauh. Hal ini membuat saya bingung dengan arah pernikahan kami. Terkadang saya merasa sangat sedih karena merasa tidak dihargai lagi sebagai pasangannya. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, sangat wajar jika Anda merasa bingung dan sedih menghadapi perubahan sikap pasangan. Masalah komunikasi dalam hubungan memang bisa sangat menguras emosi... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K1
"Kehidupan pernikahan saya berubah menjadi mimpi buruk yang tidak pernah saya bayangkan sebelumnya. Kalau saya tidak segera menuruti perintahnya detik itu juga, dia akan kehilangan kendali lalu memukul dan menampar wajah saya berulang kali. Tidak hanya itu, dia juga menendang dan mendorong saya hingga jatuh ke lantai. Saya sering dijambak rambutnya saat dia sedang marah besar. Ini murni aniaya fisik. Saya sudah tidak sanggup lagi bertahan dalam penderitaan ini. Tolong beritahu saya bagaimana cara melaporkan atau menyelamatkan diri.","Halo, terima kasih telah membagikan cerita Anda. Kekerasan fisik seperti memukul, menampar, menendang sama sekali tidak bisa dibenarkan... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K4
"Sejak awal pernikahan, saya sering mengalami kejadian yang tidak menyenangkan dan rasanya semakin memburuk. Kalau saya tidak segera menuruti perintahnya detik itu juga, dia akan kehilangan kendali lalu mengancam mati saya dan anak-anak. Dia pernah mencekik saya kuat-kuat dan menggunakan senjata tajam untuk menakut-nakuti saya di pojok ruangan. Nyawa saya benar-benar dalam bahaya besar dan saya merasa ini sangat darurat. Kejadian ini membuat saya sangat trauma dan ketakutan setiap hari. Apa yang sebaiknya saya lakukan sebagai langkah selanjutnya?","Halo, terima kasih sudah berani menjangkau kami. Kami sangat prihatin mendengar situasi Anda. Ini adalah situasi darurat yang mengancam nyawa. Segera cari tempat yang aman dan hubungi polisi atau layanan darurat terdekat... Semoga Anda segera mendapatkan perlindungan dan kekuatan.",K5
saya sering dipaksa mengikuti keinginan pasangan saya,"Anda tidak sendiri. Mulailah dengan berbicara kepada keluarga, teman dekat, atau layanan bantuan terpercaya.",K3
saya sering dipaksa mengikuti keinginan pasangan saya,Perilaku tersebut termasuk kekerasan verbal dan kontrol berlebihan. Anda berhak merasa aman dan dihormati.,K1
